Rank,City,Average_Rating,Restaurant_Count
1,Inner City,4.9,2
2,Quezon City,4.8,1
3,Makati City,4.65,2
4,Pasig City,4.633333333333334,3
5,Mandaluyong City,4.625,4
6,Beechworth,4.6,1
7,London,4.535,20
8,Taguig City,4.525,4
9,Lincoln,4.5,1
10,Tagaytay City,4.5,1
11,Secunderabad,4.5,2
12,Orlando,4.478947368421053,19
13,Tampa Bay,4.41,20
14,Palm Cove,4.4,1
15,Tanunda,4.4,1
16,Rest of Hawaii,4.394736842105263,19
17,Bangalore,4.375,20
18,Dubai,4.37,20
19,Pasay City,4.366666666666667,3
20,Jakarta,4.35625,16
21,Hyderabad,4.344444444444445,18
22,Chennai,4.3149999999999995,20
23,Ankara,4.305,20
24,Tangerang,4.300000000000001,2
25,Vineland Station,4.3,1
26,Vernonia,4.3,1
27,Abu Dhabi,4.3,20
28,Sandton,4.3,11
29,Randburg,4.3,1
30,Clatskanie,4.3,1
31,Mohali,4.3,1
32,��stanbul,4.292857142857143,14
33,Auckland,4.275,20
34,Rio de Janeiro,4.265,20
35,Boise,4.26,20
36,Kolkata,4.255,20
37,Wellington City,4.25,20
38,San Juan City,4.25,2
39,Goa,4.245,20
40,Des Moines,4.235,20
41,Pune,4.220000000000001,20
42,Athens,4.2,20
43,Johannesburg,4.2,6
44,Bandung,4.2,1
45,Panchkula,4.2,1
46,Pensacola,4.2,20
47,Lucknow,4.1952380952380945,21
48,Guwahati,4.190476190476191,21
49,Pretoria,4.1899999999999995,20
50,Savannah,4.1684210526315795,19
51,Cedar Rapids/Iowa City,4.165,20
52,Ahmedabad,4.161904761904762,21
53,Coimbatore,4.135,20
54,Macon,4.131578947368421,19
55,Augusta,4.13,20
56,Jaipur,4.13,20
57,Dalton,4.11,20
58,Cape Town,4.11,20
59,East Ballina,4.1,1
60,Trentham East,4.1,1
61,Huskisson,4.1,1
62,Edinburgh,4.09,20
63,Mumbai,4.085,20
64,Kochi,4.08,20
65,Doha,4.0600000000000005,20
66,Chandigarh,4.050000000000001,18
67,Dehradun,4.05,20
68,Manchester,4.045,20
69,Gainesville,4.042105263157895,19
70,Columbus,4.029999999999999,20
71,Sharjah,4.029999999999999,20
72,Vadodara,4.025,20
73,Vizag,4.005,20
74,Princeton,4.0,1
75,Bhubaneshwar,3.9809523809523806,21
76,Ludhiana,3.9799999999999995,20
77,Indore,3.97,20
78,Agra,3.965,20
79,Nagpur,3.965,20
80,Bhopal,3.95,20
81,Surat,3.935,20
82,Weirton,3.9,1
83,Colombo,3.87,20
84,Bogor,3.85,2
85,Kanpur,3.815,20
86,Lakes Entrance,3.8,1
87,Santa Rosa,3.8,2
88,Middleton Beach,3.8,1
89,Hepburn Springs,3.8,2
90,Sioux City,3.7649999999999997,20
91,Mangalore,3.745,20
92,Puducherry,3.7299999999999995,20
93,Davenport,3.715,20
94,Valdosta,3.715,20
95,Fernley,3.7,1
96,Forrest,3.7,1
97,Inverloch,3.7,1
98,Phillip Island,3.7,1
99,Chatham-Kent,3.7,1
100,Mysore,3.6950000000000003,20
101,Amritsar,3.6857142857142855,21
102,Birmingham,3.6799999999999997,20
103,Waterloo,3.65,20
104,Dicky Beach,3.6,1
105,Ojo Caliente,3.6,1
106,Monroe,3.6,1
107,Lakeview,3.6,1
108,Lorn,3.6,1
109,Victor Harbor,3.6,1
110,Singapore,3.575,20
111,Albany,3.552941176470588,17
112,Dubuque,3.535,20
113,São Paulo,3.53,20
114,Nashik,3.5200000000000005,20
115,Varanasi,3.5100000000000002,20
116,Armidale,3.5,1
117,Flaxton,3.5,1
118,Macedon,3.5,1
119,Brasília,3.495,20
120,Pocatello,3.4850000000000003,20
121,Patna,3.4549999999999996,20
122,Ranchi,3.4549999999999996,20
123,Penola,3.4,1
124,Allahabad,3.3950000000000005,20
125,Aurangabad,3.375,20
126,Potrero,3.3,1
127,Yorkton,3.3,1
128,Winchester Bay,3.2,1
129,Balingup,3.2,1
130,Cochrane,3.1,1
131,Consort,3.0,1
132,Mayfield,2.9,1
133,Ghaziabad,2.852,25
134,Gurgaon,2.6514311270125224,1118
135,Paynesville,2.6,1
136,New Delhi,2.4388452402704184,5473
137,Montville,2.4,1
138,Mc Millan,2.4,1
139,Noida,2.0362037037037037,1080
140,Faridabad,1.8669322709163347,251
